Date,adj_close,High_SPY,Low_SPY,Open_SPY,Volume_SPY,date,next_close,next_ret,sentiment_score,article_count,sent_1d,sent_3d_mean,sentiment_bin
2023-05-25,402.4047546386719,403.87017154011295,400.23091469191013,402.492093249067,90961600,2023-05-25,407.61614990234375,0.012867488084470097,0.0,0.0,0.0,0.0,Medium
2023-05-26,407.61614990234375,408.3440012437636,402.98702603279827,403.0646504780238,93830000,2023-05-26,407.77142333984375,0.00038085799801812514,0.0,0.0,0.0,0.0,Medium
2023-05-30,407.77142333984375,410.100541680163,406.3739464123829,409.5667958829626,72216000,2023-05-30,405.51025390625,-0.005560620196488431,0.0,0.0,0.0,0.0,Medium
2023-05-31,405.51025390625,406.8397909643,403.9283855701419,405.927548238156,110811800,2023-05-31,409.3630065917969,0.00945614878116532,0.0,0.0,0.0,0.0,Medium
2023-06-01,409.3630065917969,410.4305278046026,404.4815514979341,405.7431486299385,88865000,2023-06-01,415.2828674316406,0.014357587224943307,0.0,0.0,0.0,0.0,Medium
2023-06-02,415.2828674316406,416.07862904316585,411.4301065443092,411.9638523391995,91426200,2023-06-02,414.487060546875,-0.001918139238192469,0.0,0.0,0.0,0.0,Medium
2023-06-05,414.487060546875,416.93263025879423,413.77860795130954,415.63220615366964,65460200,2023-06-05,415.3896179199219,0.002175161086758353,0.0,0.0,0.0,0.0,Medium
2023-06-06,415.3896179199219,415.9233637317422,413.4098539490666,414.0697950169166,64022200,2023-06-06,413.9532775878906,-0.003463806770171546,0.0,0.0,0.0,0.0,Medium
2023-06-07,413.9532775878906,416.93262263641515,413.52626912937626,415.7874770505561,85373300,2023-06-07,416.45709228515625,0.006030325187794641,0.0,0.0,0.0,0.0,Medium
2023-06-08,416.45709228515625,416.9132135992507,413.24484438116883,414.0212072230409,61952800,2023-06-08,417.2043762207031,0.0017927759982395953,0.0,0.0,0.0,0.0,Medium
2023-06-09,417.2043762207031,419.23265170531073,416.20479491266497,417.2626019577658,85742800,2023-06-09,420.9891662597656,0.009030887426821203,0.0,0.0,0.0,0.0,Medium
2023-06-12,420.9891662597656,421.0668203143709,417.4663909610866,418.194242237204,76104300,2023-06-12,423.76470947265625,0.006571270710480954,0.0,0.0,0.0,0.0,Medium
2023-06-13,423.76470947265625,424.4149066761851,421.7946599244401,422.4642854492551,95899700,2023-06-13,424.2694091796875,0.0011902817481453394,0.0,0.0,0.0,0.0,Medium
2023-06-14,424.2694091796875,426.0938946873702,420.78543083952667,424.1044461208311,100612100,2023-06-14,429.5293273925781,0.012321369269951588,0.0,0.0,0.0,0.0,Medium
2023-06-15,429.5293273925781,430.7909244884486,423.3474483133907,423.4444714620379,110303100,2023-06-15,428.0662536621094,-0.0034120398523893,0.0,0.0,0.0,0.0,Medium
2023-06-16,428.0662536621094,432.10865200218734,427.5889672468764,431.5339523095055,114165800,2023-06-16,425.84539794921875,-0.005201617090336595,0.0,0.0,0.0,0.0,Medium
2023-06-20,425.84539794921875,427.00454766263437,423.7511461038106,426.10841678966347,76160400,2023-06-20,423.6634521484375,-0.005136969670675668,0.0,0.0,0.0,0.0,Medium
2023-06-21,423.6634521484375,425.66029056375044,423.06925196557376,424.8518227878064,76982300,2023-06-21,425.19281005859375,0.003603341656345564,0.0,0.0,0.0,0.0,Medium
2023-06-22,425.19281005859375,425.29994386915916,422.35825275935235,422.6991844112322,70637200,2023-06-22,421.9783020019531,-0.007588841115943221,0.0,0.0,0.0,0.0,Medium
2023-06-23,421.9783020019531,423.7803436206902,421.257497245002,421.7055626566452,92074500,2023-06-23,420.25421142578125,-0.00409410217939612,0.0,0.0,0.0,0.0,Medium
2023-06-26,420.25421142578125,423.3420073200014,420.0106930865871,421.4036108524512,72823600,2023-06-26,424.861572265625,0.010903610074732544,0.0,0.0,0.0,0.0,Medium
2023-06-27,424.861572265625,425.48496373154705,420.68278940729704,421.1406050558911,72813700,2023-06-27,425.07586669921875,0.0005042593214757158,0.0,0.0,0.0,0.0,Medium
2023-06-28,425.07586669921875,426.0986317858107,423.1471908408459,423.77058230253635,75636000,2023-06-28,426.75128173828125,0.00393370228357884,0.0,0.0,0.0,0.0,Medium
2023-06-29,426.75128173828125,426.9168872953884,424.2479356997483,424.65702987977147,67882300,2023-06-29,431.7872619628906,0.011731652633707713,0.0,0.0,0.0,0.0,Medium
